# book_semantica plan  2026-08-30
# command: .venv/bin/python -m book_semantica plan --repo-root /opt/AI-reads-books-page-by-page
# LLM is not called. 労務入門.ocr must be skip.

status	book_key	total_items	output_dir
pending	AI_Agent_x_BPR	2420	/opt/AI-reads-books-page-by-page/book_analysis/semantica/AI_Agent_x_BPR
pending	Anthro_Vision	2120	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Anthro_Vision
pending	Atama_noii_Nin_ga_Hanasu_Mae_ni_Kangae_teirukoto__-_Adachi__Yuusai	985	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Atama_noii_Nin_ga_Hanasu_Mae_ni_Kangae_teirukoto__-_Adachi__Yuusai
pending	BUILDING_BLOCKS_birudinguburokku_Shiki_seerusuineeburumento__EiKae_ru_Jissenteki	1531	/opt/AI-reads-books-page-by-page/book_analysis/semantica/BUILDING_BLOCKS_birudinguburokku_Shiki_seerusuineeburumento__EiKae_ru_Jissenteki
pending	Bouken_suru_Soshiki_no_Tsukurikata	2505	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Bouken_suru_Soshiki_no_Tsukurikata
pending	BtoBグロースプレイブック.ocr	1338	/opt/AI-reads-books-page-by-page/book_analysis/semantica/BtoBグロースプレイブック.ocr
pending	Bunka_Jinruigaku_no_Shikouhou	2720	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Bunka_Jinruigaku_no_Shikouhou
pending	Creative_Mindset	3932	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Creative_Mindset
pending	Eigyou_no_Kagaku	4058	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Eigyou_no_Kagaku
pending	Eigyou_sukiru_Kentei__-_Takeuchi_Kouta_Akira	2070	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Eigyou_sukiru_Kentei__-_Takeuchi_Kouta_Akira
pending	Gaishikei_Consul_Shigoto_no_Susumekata	2670	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Gaishikei_Consul_Shigoto_no_Susumekata
pending	Gutai_to_Chuushou	1205	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Gutai_to_Chuushou
pending	Gyoumu_Sekkei_no_Kyoukasho	3783	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Gyoumu_Sekkei_no_Kyoukasho
